id,url,alt,order_number,created_at,updated_at
077e379b-3e5d-4aad-83ee-bf44a1256b65,https://res.cloudinary.com/dgfuv7wif/image/upload/v1733163485/6714335d14c39bfea035fa1b_DKL9-p-800_umfakb.webp,DKL 2024 foto 5,5,2024-12-10 21:36:06.150509+00,2024-12-10 21:36:06.150509+00
253f51d2-843f-409f-8cb1-011646eb69c7,https://res.cloudinary.com/dgfuv7wif/image/upload/v1733163485/671433528a096018dd6afac4_DKL8-p-800_homh26.webp,DKL 2024 foto 9,9,2024-12-10 21:36:06.150509+00,2024-12-10 21:36:06.150509+00
28208bc8-1d69-411c-b913-3edbddbb4a5f,https://res.cloudinary.com/dgfuv7wif/image/upload/v1733163486/6714336722ccd9c2f9c73177_DKL12-p-800_hguzw1.webp,DKL 2024 foto 1,1,2024-12-10 21:36:56.400745+00,2024-12-10 21:36:56.400745+00
2ce7afdd-17b5-45c5-985d-154387c255a1,https://res.cloudinary.com/dgfuv7wif/image/upload/v1733163485/67143326f367de40be79ebfa_DKL4-p-800_ceagh7.webp,DKL 2024 foto 8,8,2024-12-10 21:36:56.400745+00,2024-12-10 21:36:56.400745+00
3bcb1170-2644-4c01-babc-2d2a21f54f3f,https://res.cloudinary.com/dgfuv7wif/image/upload/v1733163486/67143331825a5682bac9d4d3_DKL5-p-800_sphrol.webp,DKL 2024 foto 2,2,2024-12-10 21:36:56.400745+00,2024-12-10 21:36:56.400745+00
42451479-a4a4-48de-acec-3b5622eafa4a,https://res.cloudinary.com/dgfuv7wif/image/upload/v1733163484/671433b28a096018dd6b25b1_DKL18-p-800_tmpvgb.webp,DKL 2024 foto 13,13,2024-12-10 21:36:56.400745+00,2024-12-10 21:36:56.400745+00
4ca35a1b-84d6-48cd-8bde-b0dcba47f510,https://res.cloudinary.com/dgfuv7wif/image/upload/v1733163484/671433bb6de927107d736c2a_DKL19-p-800_slbxvx.webp,DKL 2024 foto 10,10,2024-12-10 21:36:06.150509+00,2024-12-10 21:36:06.150509+00
54acfeb9-bb71-4fb5-9e4f-3afc0856228c,https://res.cloudinary.com/dgfuv7wif/image/upload/v1733163484/671433d4a85d0d0e22bd50fe_DKL21-p-800_gzltkt.webp,DKL 2024 foto 14,14,2024-12-10 21:36:06.150509+00,2024-12-10 21:36:06.150509+00
621b0ed1-03ea-4fcd-aabe-5d0f509d118a,https://res.cloudinary.com/dgfuv7wif/image/upload/v1733163484/671433c5b12e46916cf5612b_DKL20-p-800_oq5ium.webp,DKL 2024 foto 12,12,2024-12-10 21:36:56.400745+00,2024-12-10 21:36:56.400745+00
8811095b-5909-4a76-b738-012f1a2f393a,https://res.cloudinary.com/dgfuv7wif/image/upload/v1733163485/6714330a3210f9f512505de3_dkl2-p-800_pvztxb.webp,DKL 2024 foto 4,4,2024-12-10 21:36:56.400745+00,2024-12-10 21:36:56.400745+00
b8dd35ad-99ea-4bba-9d53-8c887f5e294d,https://res.cloudinary.com/dgfuv7wif/image/upload/v1733163484/671433481981522775f532d1_DKL7-p-800_zdihdc.webp,DKL 2024 foto 11,11,2024-12-10 21:36:06.150509+00,2024-12-10 21:36:06.150509+00
c86837b5-d2f0-46a9-ac77-bc1e8c6c5c15,https://res.cloudinary.com/dgfuv7wif/image/upload/v1733163485/6714333d9d3ac37ffaa1d539_DKL6-p-800_o16v1m.webp,DKL 2024 foto 7,7,2024-12-10 21:36:56.400745+00,2024-12-10 21:36:56.400745+00
cb115170-e0a8-4710-876d-56f05b69d734,https://res.cloudinary.com/dgfuv7wif/image/upload/v1733163485/67143316c21bdbd9d9800bcf_DKL3-p-800_kcx0b3.webp,DKL 2024 foto 6,6,2024-12-10 21:36:06.150509+00,2024-12-10 21:36:06.150509+00
f6aeff67-25b7-4e55-b5a9-496f1d153797,https://res.cloudinary.com/dgfuv7wif/image/upload/v1733163486/67143385825a5682baca0273_DKL13-p-800_m9sc65.webp,DKL 2024 foto 3,3,2024-12-10 21:36:56.400745+00,2024-12-10 21:36:56.400745+00
